                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.93484,                 1.8636,                 1.3139,                0.74384,                0.62235,                0.69352,                0.42877,                 1.1482,                 1.6898,                 1.7013,               0.070166,              0.0033149,              0.0033149
                      1,                  0.899,                 1.2812,                  1.291,                 0.7911,                0.66588,                0.73564,                0.43502,                 1.2814,                 1.4669,                 1.8496,               0.040133,              0.0066153,              0.0066153
                      2,                 1.0078,                  1.314,                 1.3656,                0.74394,                0.68118,                0.70518,                0.38874,                 1.3597,                 1.5174,                 2.0279,               0.010067,              0.0098828,              0.0098828
                      3,                 1.0732,                 1.2943,                 1.4024,                0.79265,                0.69882,                  0.732,                0.42266,                  1.369,                  1.333,                 2.0463,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.0996,                 1.2846,                  1.439,                0.77394,                0.69277,                0.75504,                0.46405,                 1.2491,                 1.3008,                 1.8421,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.0545,                 1.2245,                 1.4052,                0.81176,                0.70014,                0.76896,                0.45744,                 1.3532,                 1.2142,                 2.0212,               0.009802,               0.009802,               0.009802
                      6,                 1.0314,                 1.1503,                   1.38,                0.82213,                0.72588,                0.77298,                0.50678,                 1.1534,                 1.1645,                 1.7378,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.0099,                 1.1271,                 1.3699,                0.80351,                0.65765,                0.73584,                0.43146,                 1.3707,                  1.432,                 1.9757,               0.009703,               0.009703,               0.009703
                      8,                0.96984,                 1.0778,                 1.3434,                0.84988,                0.72598,                0.79734,                0.52094,                  1.165,                 1.1294,                  1.738,              0.0096535,              0.0096535,              0.0096535
                      9,                 0.9599,                 1.0391,                 1.3269,                0.82007,                0.73059,                0.78691,                0.52332,                 1.1368,                  1.105,                 1.6943,               0.009604,               0.009604,               0.009604
                     10,                0.96915,                 1.0679,                 1.3403,                0.85397,                0.77743,                0.83345,                0.57919,                 1.0258,                0.95929,                  1.601,              0.0095545,              0.0095545,              0.0095545
                     11,                0.92805,                0.99827,                 1.3072,                0.85702,                0.77294,                0.82571,                 0.5838,                 1.0274,                0.96877,                 1.5852,               0.009505,               0.009505,               0.009505
                     12,                0.90243,                0.99182,                 1.2923,                0.87658,                0.77294,                0.84044,                0.59181,                  1.018,                0.95123,                 1.5952,              0.0094555,              0.0094555,              0.0094555
                     13,                 0.9024,                 0.9839,                 1.2949,                0.87576,                0.76471,                0.83151,                0.58533,                 1.0241,                0.95174,                 1.5761,               0.009406,               0.009406,               0.009406
                     14,                0.89881,                 0.9798,                 1.2883,                0.86981,                0.75647,                0.82855,                0.56521,                 1.0885,                0.97732,                  1.654,              0.0093565,              0.0093565,              0.0093565
